date,stock_sentiment,Analyst_EPS_revisions
2022-04-29,Bearish,Downward (supply-chain headwinds expected to hit next-quarter sales; analysts turned more cautious)
2025-08-04,Bearish,Mixed-to-downward (AI investment/visibility concerns; some targets lifted post-earnings but near-term estimate tone cautious)
2024-01-25,Cautious / slightly bearish,No clear broad revisions noted (news flow focused on weaker China shipments/demand risk)
2022-09-13,Bearish (macro risk-off),No specific Apple-focused revisions noted (move driven largely by CPI/Fed expectations)
2022-05-05,Bearish (macro sell-off),No specific Apple-focused revisions noted (broad risk-off session)
2025-11-01,Bullish,Upward bias (post-earnings optimism; commentary suggests improving expectations)
2023-08-04,Bearish,Mixed-to-downward (focus on continuing sales weakness / guidance concerns despite some beats)
2023-05-05,Bullish,Mixed-to-upward (results cheered; some segment softness noted but tone improved)
2025-03-14,Cautious / bearish,Downward (notable analyst cuts tied to delayed/less-compelling AI upgrade cycle expectations)
2022-06-13,Mildly bullish,Limited explicit revisions noted (positive sell-side commentary on Services monetization)
2024-07-01,Bullish,Stable (select targets maintained; no broad estimate reset noted)
2024-02-02,Mixed (earnings beat but China weakness),"Mixed (beat supportive, but China sales decline tempered revisions)"
2022-09-29,Bearish,Downward bias (downgrade / weakening demand narrative weighed)
2023-02-03,Bearish,Downward (results missed expectations; outlook cautious)
