Date,Previous_Close,Close,Percent_Change
2025-04-09,595.3699951171875,687.260009765625,15.434102390455639
2022-11-10,489.4599914550781,560.7899780273438,14.57320063284726
2024-06-05,950.8099975585938,1041.3399658203125,9.521352162279918
2022-03-16,596.7000122070312,650.6300048828125,9.03804115510387
2024-07-31,860.239990234375,936.7000122070312,8.888219896848138
2024-01-24,778.3900146484375,847.3099975585938,8.854170995665234
2022-03-09,573.0399780273438,621.3400268554688,8.428739822724939
2022-10-04,431.67999267578125,465.1099853515625,7.7441607771915555
2025-01-06,714.3599853515625,768.510009765625,7.580215231038356
2021-03-09,502.19000244140625,539.52001953125,7.433444893041119
2021-03-26,584.0,625.6699829101562,7.135271046259639
2025-09-15,813.8699951171875,867.2999877929688,6.564929656620144
2021-12-07,756.3900146484375,806.010009765625,6.560107108268798
2022-11-04,439.9200134277344,468.760009765625,6.555736374250709
2024-09-11,751.3800048828125,800.1400146484375,6.489394108009261
2025-09-18,872.27001953125,927.7999877929688,6.366144315215605
2022-10-19,398.989990234375,424.0199890136719,6.273340031561636
2023-05-25,666.7899780273438,708.47998046875,6.252343888662448
2021-04-21,616.9400024414062,655.489990234375,6.248579706359703
2025-05-12,706.2100219726562,750.2000122070312,6.229023784100063
